Model,eps_0,eps_0_se,eps_1,eps_1_se,eps_2,eps_2_se
LA-AIDS,-0.8492,0.0,-1.4196,0.0,-1.1399,0.0
BLP (IV),-0.998,0.0,-1.7692,0.0,-0.5871,0.0
QUAIDS,-0.8819,0.0,-1.4227,0.0,-1.1293,0.0
Series Est.,-0.7084,0.0,-1.6293,0.0,-1.2242,0.0
LDS (Shared),-0.1631,0.0,-0.2126,0.0,-0.1876,0.0
LDS (GoodSpec),-0.1643,0.0,-0.205,0.0,-0.1809,0.0
LDS (Orth),-1.1111,0.0,-1.084,0.0,-1.1193,0.0
Neural Demand (static),-0.7035,0.0317,-1.558,0.0124,-1.2643,0.0148
Neural Demand (habit),-0.9375,0.0107,-1.2072,0.014,-1.1802,0.0173
Neural Demand (FE),,,,,,
"Neural Demand (habit, FE)",,,,,,
Neural Demand (CF),-0.9581,0.027,-1.6235,0.0397,-0.7837,0.0472
"Neural Demand (habit, CF)",-0.9487,0.0027,-1.26,0.02,-1.2022,0.0127
